City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,jiwani,25.05,61.7417,21.17,74,5,9.97,PK,1675986556
311,beloha,-25.1667,45.05,23.83,78,55,2.27,MG,1675986556
312,kachiry,53.0675,76.1036,-21.03,97,97,2.91,KZ,1675986557
313,sebinkarahisar,40.2883,38.4236,-14.4,89,65,1.55,TR,1675986558
314,san lorenzo,-25.3333,-57.5333,24.77,88,75,2.24,PY,1675986559
315,jiaozuo,35.2397,113.2331,0.22,89,8,1.74,CN,1675986559
316,tchibanga,-2.85,11.0333,22.99,98,99,0.87,GA,1675986560
317,airai,-8.9266,125.4092,18.48,85,100,1.37,TL,1675986560
318,los llanos de aridane,28.6585,-17.9182,13.4,81,100,2.06,ES,1675986561
319,dalvik,65.9702,-18.5286,-7.04,68,79,5.22,IS,1675986561
320,korcula,42.9622,17.1369,5.42,51,53,3.96,HR,1675986562
321,surt,31.2089,16.5887,14.62,66,65,10.66,LY,1675986562
322,tolaga bay,-38.3667,178.3,19.25,60,83,5.33,NZ,1675986563
323,catole do rocha,-6.3439,-37.7467,28.11,56,64,3.18,BR,1675986563
324,ahipara,-35.1667,173.1667,21.65,49,67,2.47,NZ,1675986563
325,moron,-34.6534,-58.6198,31.14,66,0,3.27,AR,1675986564
326,san jose,37.3394,-121.895,22.15,41,20,4.12,US,1675986526
327,port macquarie,-31.4333,152.9167,26.05,64,15,2.54,AU,1675986321
328,vilyuysk,63.7553,121.6247,-43.41,99,79,2.33,RU,1675986565
329,rio grande,-32.035,-52.0986,27.06,78,0,6.22,BR,1675986528
330,rebrikha,53.0733,82.3408,-26.25,100,99,2.04,RU,1675986566
331,nome,64.5011,-165.4064,-17.96,71,100,0.0,US,1675986566
332,lorengau,-2.0226,147.2712,26.6,84,100,4.67,PG,1675986567
333,damara,4.9608,18.7035,23.48,24,68,0.88,CF,1675986567
334,tokur,53.1333,132.9,-26.33,98,100,1.28,RU,1675986567
335,payson,40.0444,-111.7321,2.47,50,45,0.45,US,1675986568
336,sao filipe,14.8961,-24.4956,20.52,81,100,4.82,CV,1675986568
337,piacabucu,-10.4056,-36.4344,26.39,82,9,4.4,BR,1675986569
338,presidencia roque saenz pena,-26.7852,-60.4388,23.09,85,67,2.13,AR,1675986569
339,alcantara,-2.4089,-44.4147,28.11,87,41,2.75,BR,1675986569
340,mercedes,-34.6515,-59.4307,29.32,25,0,2.61,AR,1675986570
341,venado tuerto,-33.7456,-61.9688,30.43,20,0,2.5,AR,1675986570
342,wajid,3.8093,43.2471,23.73,65,53,6.7,SO,1675986571
343,juegang,32.3174,121.1855,7.21,92,100,5.27,CN,1675986571
344,gambo,4.6482,22.2633,19.77,33,9,1.55,CF,1675986571
345,ilinskiy,55.619,38.1182,-1.79,80,100,4.0,RU,1675986572
346,boyolangu,-8.1181,111.8935,25.3,85,99,1.21,ID,1675986572
347,corrientes,-27.4806,-58.8341,27.98,65,75,1.03,AR,1675986572
348,beringovskiy,63.05,179.3167,-31.47,93,34,3.94,RU,1675986573
349,nizhniy baskunchak,48.2198,46.8311,-8.69,91,97,2.39,RU,1675986573
350,tombouctou,20.0,-3.0,21.53,13,25,8.07,ML,1675986574
351,jurm,36.8648,70.8342,-2.03,97,100,1.79,AF,1675986574
352,seoul,37.5683,126.9778,1.78,93,100,2.06,KR,1675986306
353,funadhoo,6.15,73.2667,26.61,69,15,1.34,MV,1675986575
354,ostrovnoy,68.0531,39.5131,-0.91,83,100,9.78,RU,1675986575
355,tshikapa,-6.4167,20.8,21.0,82,18,0.98,CD,1675986576
356,hualmay,-11.0964,-77.6139,22.89,84,26,3.93,PE,1675986576
357,praya,14.9215,-23.5087,20.3,77,20,7.72,CV,1675986576
358,hamilton,39.1834,-84.5333,10.23,70,100,13.89,US,1675986245
359,fort nelson,58.8053,-122.7002,-7.81,80,75,0.89,CA,1675986577
360,adeje,28.1227,-16.726,16.29,62,75,4.12,ES,1675986578
361,sorong,-0.8833,131.25,27.15,79,100,2.95,ID,1675986578
